569	1038	604	1077	other
436	1038	564	1077	other
710	486	817	544	other
203	2179	310	2218	other
1390	194	1489	233	other
1123	1038	1277	1077	other
1015	1038	1118	1077	other
988	1038	1009	1077	other
924	1038	983	1077	other
832	1038	918	1077	other
315	2179	367	2218	other
373	2179	471	2218	other
477	2179	586	2218	other
591	2179	621	2218	other
626	2179	678	2218	other
684	2179	766	2218	other
771	2179	867	2218	other
873	2179	998	2218	other
1003	2179	1062	2218	other
1068	2179	1126	2218	other
1132	2179	1239	2218	other
1245	2179	1258	2218	other
1264	2179	1352	2218	other
1358	2179	1451	2218	other
211	2259	343	2289	other
744	2259	778	2289	other
782	2259	849	2289	other
853	2259	919	2289	other
1269	2259	1494	2289	email
1283	1038	1330	1077	other
1335	1038	1396	1077	other
212	486	343	544	other
354	486	475	544	other
487	486	583	544	other
594	486	699	544	other
610	1038	826	1077	other
247	793	348	851	name
166	793	236	851	name
166	1105	311	1144	other
435	1226	469	1263	other
184	1226	258	1263	other
264	1226	331	1263	other
337	1226	358	1263	other
363	1226	430	1263	other
352	1038	430	1077	other
254	1038	347	1077	other
166	1038	248	1077	other
222	878	558	917	email
395	632	504	682	other
231	632	386	682	other
166	632	222	682	other
166	570	352	620	other
828	486	1005	544	other
166	486	201	544	other
317	435	370	471	other
166	435	311	471	other
166	1226	178	1263	other
474	1226	534	1263	other
539	1226	704	1263	other
1171	194	1227	233	other
1232	194	1303	233	other
1308	194	1350	233	other
1355	194	1385	233	other
359	793	456	851	name
