406	2069	517	2102	other
372	2069	402	2102	other
263	2069	368	2102	other
351	1837	404	1870	other
263	1837	347	1870	other
915	1760	961	1793	other
263	2108	273	2141	other
822	1760	911	1793	other
717	1760	818	1793	other
605	1760	713	1793	other
536	1760	601	1793	other
443	1760	532	1793	other
277	1760	439	1793	other
263	1760	273	1793	other
489	1722	564	1755	other
445	1722	485	1755	other
418	1722	441	1755	other
369	192	456	229	other
651	101	815	181	name
1241	619	1259	652	other
1176	619	1237	652	other
62	1202	170	1248	other
84	658	136	690	school_date
137	620	151	649	school_date
430	581	581	614	school_name
375	581	426	614	school_name
263	581	371	614	school_name
136	581	199	614	school_date
88	581	131	614	school_date
1509	92	1608	125	address
1429	92	1505	125	address
277	2108	367	2141	other
371	2108	437	2141	other
441	2108	573	2141	other
577	2108	609	2141	other
613	2108	694	2141	other
698	2108	754	2141	other
758	2108	859	2141	other
863	2108	929	2141	other
933	2108	959	2141	other
963	2108	1051	2141	other
263	2146	368	2179	other
506	101	632	181	name
369	101	487	181	name
406	1530	445	1563	other
449	1530	536	1563	other
539	1530	637	1563	other
641	1530	741	1563	other
263	1568	273	1601	other
277	1568	429	1601	other
433	1568	484	1601	other
488	1568	527	1601	other
531	1568	683	1601	other
687	1568	749	1601	other
335	1018	387	1051	company_name
391	1018	521	1051	company_name
137	1057	151	1086	company_date
94	1095	190	1128	company_date
263	1071	339	1104	position
79	1285	140	1317	company_date
144	1285	208	1317	company_date
263	1285	331	1317	company_name
263	1607	273	1639	other
1491	696	1537	729	other
1360	696	1487	729	other
1306	696	1356	729	other
1014	2031	1123	2064	other
342	634	431	667	major
1532	2266	1630	2294	other
1506	2266	1528	2294	other
1176	1242	1284	1275	other
1176	1159	1252	1192	other
1176	1076	1280	1108	other
1176	992	1262	1025	other
1230	909	1291	942	other
1176	909	1226	942	other
845	2031	937	2064	other
796	2031	841	2064	other
690	2031	792	2064	other
630	2031	686	2064	other
545	2031	626	2064	other
510	2031	541	2064	other
374	2031	506	2064	other
277	2031	370	2064	other
263	2031	273	2064	other
263	1993	353	2025	other
263	1683	273	1716	other
263	1645	353	1678	other
474	1607	521	1639	other
402	1607	470	1639	other
284	1607	398	1639	other
1176	827	1300	873	other
1275	734	1362	767	other
1176	734	1271	767	other
435	634	572	667	major
86	736	134	769	company_date
138	736	201	769	company_date
263	736	360	769	company_name
364	736	403	769	company_name
407	736	454	769	company_name
458	736	558	769	company_name
137	776	151	805	company_date
88	813	131	846	company_date
136	813	199	846	company_date
263	790	339	823	position
86	862	133	895	company_date
137	862	201	895	company_date
263	862	340	895	company_name
335	1285	387	1317	company_name
391	1285	521	1317	company_name
137	1324	151	1353	company_date
94	1361	190	1394	company_date
263	1338	339	1371	position
86	1901	133	1934	company_date
137	1901	201	1934	company_date
263	1901	340	1934	company_name
344	1901	413	1934	company_name
941	2031	1010	2064	other
137	1940	151	1969	company_date
84	1978	136	2011	company_date
140	1978	203	2011	company_date
263	1954	339	1987	position
344	862	413	895	company_name
137	902	151	930	company_date
84	939	136	972	company_date
140	939	203	972	company_date
263	916	339	948	position
86	1018	132	1051	company_date
137	1018	200	1051	company_date
263	1018	331	1051	company_name
263	634	338	667	other
263	672	364	705	other
368	672	645	705	other
263	954	364	987	other
368	954	644	987	other
263	1376	322	1409	other
326	1376	509	1409	other
263	1415	273	1448	other
277	1415	423	1448	other
427	1415	466	1448	other
470	1415	613	1448	other
263	1453	273	1486	other
382	1491	429	1524	other
433	1491	542	1524	other
277	1530	366	1563	other
263	1530	273	1563	other
370	1530	402	1563	other
824	1799	876	1831	other
879	1799	954	1831	other
958	1799	1010	1831	other
1014	1799	1126	1831	other
372	2146	428	2179	other
263	2185	273	2217	other
277	2185	404	2217	other
407	2185	540	2217	other
544	2185	575	2217	other
579	2185	660	2217	other
664	2185	720	2217	other
724	2185	826	2217	other
830	2185	929	2217	other
1240	696	1302	729	other
1176	696	1236	729	other
1395	619	1441	652	other
1263	619	1391	652	other
177	1202	397	1248	other
1176	499	1374	544	school_name
62	499	271	544	other
140	658	203	690	school_date
550	2223	614	2256	other
461	2223	546	2256	other
346	2223	457	2256	other
263	2223	342	2256	other
1014	2185	1059	2217	other
933	2185	1010	2217	other
1357	139	1606	172	email
1459	186	1607	219	phone
1176	581	1256	614	other
1260	581	1383	614	other
1387	581	1413	614	other
1417	581	1464	614	other
1468	581	1549	614	other
1176	658	1344	690	other
1348	658	1374	690	other
1378	658	1418	690	other
1422	658	1526	690	other
1530	658	1556	690	other
263	1110	364	1143	other
368	1110	755	1143	other
277	1453	362	1486	other
366	1453	413	1486	other
417	1453	488	1486	other
492	1453	539	1486	other
542	1453	613	1486	other
263	1491	273	1524	other
277	1491	331	1524	other
335	1491	378	1524	other
277	1683	331	1716	other
335	1683	467	1716	other
471	1683	503	1716	other
507	1683	587	1716	other
591	1683	648	1716	other
652	1683	753	1716	other
757	1683	826	1716	other
830	1683	925	1716	other
929	1683	975	1716	other
979	1683	1063	1716	other
1067	1683	1106	1716	other
263	1722	333	1755	other
337	1722	414	1755	other
965	1760	1077	1793	other
263	1799	376	1831	other
380	1799	404	1831	other
408	1799	447	1831	other
529	1799	615	1831	other
451	1799	525	1831	other
619	1799	717	1831	other
721	1799	820	1831	other
