249	1420	344	1451	other
249	1384	391	1415	other
1233	1195	1297	1225	other
889	1195	945	1225	other
843	1195	884	1225	other
1231	1343	1295	1374	other
889	1343	945	1374	other
843	1343	884	1374	other
392	1343	525	1374	other
249	1343	380	1374	other
1231	1306	1295	1336	other
889	1306	945	1336	other
843	1306	884	1336	other
391	1306	523	1336	other
249	1306	386	1336	other
1231	1269	1295	1299	other
877	1269	934	1299	other
854	1269	872	1299	other
249	1269	332	1299	other
1231	1231	1295	1262	other
877	1231	934	1262	other
854	1231	872	1262	other
249	1231	311	1262	other
249	1194	381	1225	other
1232	1157	1297	1188	other
889	1157	945	1188	other
843	1157	884	1188	other
249	1157	309	1188	other
1231	1120	1295	1150	other
877	1120	934	1150	other
854	1120	872	1150	other
249	1120	309	1150	other
1231	1083	1295	1113	other
877	1083	934	1113	other
854	1083	872	1113	other
249	1083	327	1113	other
437	1009	586	1040	other
249	1461	312	1492	other
1231	1420	1295	1451	other
889	1420	945	1451	other
843	1420	884	1451	other
249	310	260	341	other
423	1612	512	1643	other
329	1612	418	1643	other
249	1612	324	1643	other
1231	1575	1295	1605	other
877	1575	934	1605	other
854	1575	872	1605	other
249	1575	314	1605	other
594	1539	671	1569	other
510	1539	589	1569	other
452	1539	504	1569	other
249	1539	448	1569	other
534	1461	662	1492	other
317	1461	529	1492	other
889	931	945	962	other
843	931	884	962	other
369	894	395	925	other
400	894	426	925	other
431	894	465	925	other
847	894	866	925	other
870	894	941	925	other
1231	894	1295	925	other
283	211	442	253	other
450	211	682	253	other
249	362	361	393	other
249	401	301	431	other
306	401	461	431	other
576	402	689	433	other
693	402	779	433	other
785	402	864	433	other
249	442	421	473	other
284	577	470	619	other
478	577	583	619	other
249	711	418	753	other
426	711	514	753	other
714	711	819	753	other
827	711	862	753	other
714	762	927	804	other
1184	711	1255	747	other
1262	711	1342	747	other
249	858	383	888	other
388	858	505	888	other
249	894	364	925	other
249	931	318	962	other
265	312	351	348	company_date
357	312	418	348	company_date
424	312	501	348	company_date
517	312	551	348	company_date
558	312	621	348	company_date
628	312	705	348	company_date
576	361	690	392	position
576	439	696	470	company_name
701	441	806	472	company_name
811	441	895	472	company_name
901	441	986	472	company_name
991	441	1093	472	company_name
249	1009	432	1040	other
1231	931	1295	962	other
