810	1388	916	1424	other
922	1388	993	1424	other
810	1518	909	1554	other
810	1473	959	1509	other
1471	1432	1524	1468	other
1397	1432	1450	1468	other
1240	1432	1377	1468	other
1101	1432	1220	1468	other
987	1432	1081	1468	other
939	1432	967	1468	other
810	1432	918	1468	other
810	1558	905	1594	other
1481	1518	1524	1554	other
1442	1518	1470	1554	other
1329	1518	1432	1554	other
1162	1518	1319	1554	other
1093	1518	1152	1554	other
981	1518	1083	1554	other
919	1518	970	1554	other
1303	1133	1407	1169	other
1220	1133	1298	1169	other
1184	1133	1215	1169	other
1034	1133	1179	1169	other
1000	1133	1028	1169	other
934	1133	994	1169	other
885	1133	928	1169	other
810	1133	879	1169	other
810	1089	920	1125	other
1481	1048	1524	1084	other
1399	1048	1470	1084	other
1360	1048	1388	1084	other
1235	1048	1349	1084	other
1105	1048	1225	1084	other
1026	1048	1096	1084	other
955	1048	1015	1084	other
899	1048	945	1084	other
810	1048	888	1084	other
1399	1004	1503	1040	other
1278	1004	1394	1040	other
1224	1004	1272	1040	other
1123	1004	1219	1040	other
1087	1004	1118	1040	other
967	1004	1081	1040	other
911	1004	962	1040	other
810	1004	905	1040	other
1229	679	1324	715	other
1345	953	1393	989	company_name
925	1347	983	1383	other
992	1347	1092	1383	other
1159	1347	1241	1383	other
1101	1347	1150	1383	other
1324	820	1492	856	project_name
842	820	907	856	position
1250	820	1318	856	project_name
1002	820	1245	856	position
912	820	997	856	position
1051	861	1117	897	project_name
1124	861	1281	897	project_name
1047	903	1171	939	company_date
1420	1221	1478	1257	other
1495	1221	1523	1257	other
810	1262	900	1298	other
909	1262	1023	1298	other
1031	1262	1106	1298	other
1115	1262	1168	1298	other
1177	1262	1232	1298	other
1181	1221	1325	1257	other
1118	1221	1165	1257	other
1002	1221	1102	1257	other
930	1221	987	1257	other
810	1221	914	1257	other
1230	1177	1430	1213	other
1122	1177	1225	1213	other
1000	1177	1117	1213	other
1242	1262	1295	1298	other
1304	1262	1357	1298	other
1365	1262	1524	1298	other
810	1303	970	1339	other
810	1347	915	1383	other
1176	903	1288	939	company_date
939	953	1004	989	company_name
1010	953	1177	989	company_name
1181	953	1275	989	company_name
1281	953	1339	989	company_name
1342	1221	1403	1257	other
913	1177	995	1213	other
810	1177	907	1213	other
1353	1347	1525	1383	other
1250	1347	1343	1383	other
1349	596	1377	632	other
1251	1688	1379	1724	other
1148	1688	1246	1724	other
1091	1688	1142	1724	other
987	1688	1085	1724	other
924	1688	982	1724	other
810	1688	918	1724	other
933	1643	981	1679	other
810	1643	928	1679	other
1341	1603	1523	1639	other
1256	1603	1311	1639	other
1139	1603	1226	1639	other
930	1603	1109	1639	other
810	1603	899	1639	other
1131	679	1224	715	other
1073	679	1126	715	other
960	679	1068	715	other
867	679	955	715	other
810	679	861	715	other
1323	637	1525	673	other
1213	637	1316	673	other
1090	637	1207	673	other
1000	637	1083	673	other
896	637	994	673	other
810	637	890	673	other
1431	596	1523	632	other
1383	596	1426	632	other
1235	596	1343	632	other
1157	596	1230	632	other
1049	596	1153	632	other
988	596	1045	632	other
969	596	983	632	other
845	596	966	632	other
810	596	840	632	other
891	533	961	569	other
810	533	885	569	other
1475	491	1524	527	other
1442	491	1471	527	other
1380	491	1438	527	other
1273	491	1376	527	other
1217	491	1268	527	other
1139	491	1212	527	other
1085	491	1134	527	other
983	491	1081	527	other
920	491	978	527	other
810	491	915	527	other
1175	447	1252	483	other
1119	447	1169	483	other
960	447	1113	483	other
859	447	954	483	other
810	447	853	483	other
1411	406	1525	442	other
1260	406	1407	442	other
1179	406	1256	442	other
1046	406	1174	442	other
930	406	1042	442	other
874	406	925	442	other
810	406	870	442	other
1465	362	1513	398	other
1399	362	1459	398	other
1261	362	1393	398	other
1127	362	1256	398	other
1028	362	1122	398	other
946	362	1023	398	other
810	362	924	398	other
1385	321	1523	357	other
1305	321	1376	357	other
1269	321	1297	357	other
1221	321	1261	357	other
1114	321	1213	357	other
1055	321	1107	357	other
938	321	1048	357	other
887	321	930	357	other
810	321	879	357	other
1573	2086	1591	2120	other
